Column Name,Content
Software Engineering,"Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact A.K.C. Sigvardsdotter Science Park 904 +3120525 5658 The programme takes one academic year (60 credits) and awards a Master of Science degree in Software Engineering. It is likewise possible to attend the programme part-time, which takes two years instead of one. Website: Please, refer tohttp://www.student.uva.nl/sefor all announcements and information regarding the Master Software Engineering. Study load and credits: The University of Amsterdam (UvA) applies the European Credit Transfer System (ECTS). The general study load for students is 30 EC per semester. A full academic year of two semesters equals 60 EC. Each semester lasts 20 weeks with 3 periods: 2 periods of 8 weeks and a third period of 4 weeks. A student’s study load (both contact hours and hours spent studying and preparing for assignments) is measured in European Credits (EC). Under Dutch law 1 EC represents 28 hours of work and 60 EC represent one academic year of full-time study. This is equivalent to about 40 hours of work per week. Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact A.K.C. SigvardsdotterScience Park 904+3120525 5658http://student.uva.nl/studyadviser-science Programme DirectorSoftware Engineering dr. C.U. Grelck C.U.Grelck@uva.nl"
Content,"The Master Software Engineering familiarises students with the broad and dynamic field of software engineering. Software engineering projects are complex undertakings, and there is no one recipe that guarantees success in all cases. This one year master programme makes students better software engineers, designers and architects. It enables graduates to make significant contributions to large-scale software projects in industry and academia alike. Software engineering uses many results from computer science, but the Master Software Engineering distinguishes itself from classical computer science curricula in a number of aspects, among others the size and complexity of software systems concerned, the role of human factors and the volatility of requirements. These aspects lead to a high degree of uncertainty about the impact and validity of design decisions. What is good for performance may be detrimental for understandability, maintainability and re-use. Software engineers must strive to understand these trade-offs and reduce dependencies. As changing and conflicting goals are omnipresent, software continuously needs to evolve. The software engineering domain in itself is in constant flux. Innovations in technology, design patterns and techniques are continuous. However, out-of-the-box solutions often have their specific limitations. We believe a good software engineer is like a good researcher. We intend to teach our students how to acquire relevant knowledge, how to improve making decisions, how to reflect on their current approach, how to learn to question their assumptions and how to assess their ideas. We expect students to have a solid technological basis and a fundamental understanding of computer science and software. From a technical perspective the curriculum covers software quality, specification-based automated testing, automatic code analysis, automatic code transformation and development of domain specific languages. Non-technical topics focus on software architectures, on requirements engineering and on organizational aspects of software engineering. Continuous interaction between students and staff is characteristic for the programme. Students work on challenging assignments and receive immediate feedback, making the programme very intensive."
The Software Engineering curriculum,The Master Software Engineering is a one-year academic programme with a mandatory curriculum  of 60 EC.
Software Engineering,"Full-time Programme Part-time programmeIn the part-time variant one course is taken per period instead of two. Students are expected to work around 20 hours per week and to spend two full days at university. Semester 1 Sem. 1 Sem. 2 EC sem.1-period 1:    Requirements Engineering   6 Software Testing   6 sem.1-period 2:    Software Architecture (VU)   6 Software Evolution   6 sem.1-period 1,2,3, and sem.2 period 4:    Preparation Masterproject Software Engineering   6 Semester 2    sem.2-period 4:    Software Process   6 Software Construction   6 sem.2-period 4,5,6:    Masterproject Software Engineering   18 First year Second year sem.1-period 1: sem.1-period 1: Requirements Engineering Software Testing ORSoftware Testing ORRequirements Engineering  sem.1-period 2: sem.1-period 2: Software Architecture (VU) Software Evolution ORSoftware Evolution ORSoftware Architecture (VU)   sem.1-period 3: sem.1-period 3: Preparation Masterproject Software Engineering Masterproject Software Engineering  sem.2-period 4: sem.2-period 4: Software Construction Software Construction ORSoftware Process ORSoftware Process  sem.1-period 1,2,3 and sem.2-period 4 sem.2-period 4,5,6: Preparation Masterproject Software Engineering Masterproject Software Engineering"
Software Engineering,
Requirements Engineering,"Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl servicedesk-esc-science@uva.nl Is part of The success of a software system depends on the proper interpretation and analysis of stakeholder needs. Experience shows that it is extremely difficult to adequately define and specify a system. The perception of stakeholders and users of the problem is often incomplete, inaccurate and changes over time. Knowledge is hard to express and to transfer. During this course you will understand why stakeholder needs are so hard to express, capture and understand. You will also learn the shortcomings of best practices like scrum, prototyping, interviewing and use cases. Furthermore you will learn about data-driven methods for requirements engineering like Contextual Design. Requirements methods and techniques will be discussed during the lectures. If possible, you will do a real life requirements project. Next to specific RE literature we will also study literature from law, philosophy and cognitive science to get a better understanding of the subject. Finally students will design and do an experiment to show the inherent weakness of requirements best practices, like the use of prototyping for requirement validation. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. The schedule for this course is published onDataNose. Reading tests, paper and lab work. Recommended prior knowledge: Knowledge of requirement engineering, for example books of Sommerville, Robertson, van Lamsweerde, Wiegers or Pohl. 'Modeling techniques', e.g. UML diagrams to describe software behaviour. Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) drs. H.L. Dekkers (co-ordinator) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   drs. H.L. Dekkers (co-ordinator) Master's Software Engineering Lecture Seminar Literature:  D. Kahneman 'Thinking, fast and slow'. Syllabus"
Software Testing,"Course catalogue number 5364SOTE6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl servicedesk-esc-science@uva.nl Is part of After the course, the student is able to understand and produce formal specifications of modest-sized samples of software, and is able to use formal specifications to generate relevant tests for the software. Software testing is checking whether a given software system satisfies given requirements or specifications. Without a specification, it is impossible to state what a piece of software should do, and there is no reasonable way to set up the test process. An informal specification is not enough, for if we want to automate the test process we need pre-given information about (i) which tests are relevant, and about (ii) what the outcomes of the relevant tests should be. The information about (i) states the preconditions of the code, and the information about (ii) states the postconditions. Programs written in functional or imperative languages can be tested, given a formal specification, by means of a random test generator. This test method will be illustrated for a number of example programs written in Haskell. The course includes a lightning introduction to this languages, and then focusses on how to test programs written in either functional or imperative style, and how to use tools for automated test generation. Basic familiarity with functional programming in Haskell. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. The schedule for this course is published onDataNose. Course examination will consist of assignments during the course plus a final exam consisting of a theory part and a computer lab part. Final grade determined for 40% by the course assignment results and for 60% by the result on the final exam. Course catalogue number 5364SOTE6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. A.M. Oprescu (co-ordinator) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   dr. A.M. Oprescu (co-ordinator) Master's Software Engineering Lecture Seminar Laptop seminar Literature: Recommended background reading: Kees Doets and Jan van Eijck, 'The Haskell Road to Logic, Maths and Programming'. College Publications, London 2012. This book can be ordered (at a discount) with the lecturer. Literature: Recommended background reading: M. Huth and M. Ryan, 'Logic in Computer Science: Modelling and Reasoning about Systems',Cambridge University Press 2004 (Second Edition). Literature: Recommended background reading: Johan van Benthem, Hans van Ditmarsch, Jan van Eijck and Jan Jaspars,'Logic in Action', electronically available fromhttp://www.logicinaction.org Literature: Graham Hutton, 'Programming in Haskell', Cambridge University Press 2016 (Second Edition). Syllabus: Reader: Jan van Eijck, 'Purely Functional Algorithm Specification'. Will be made available during the course. Syllabus Syllabus"
Software Architecture (VU),"Course catalogue number 52848SAR6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl servicedesk-esc-science@uva.nl Is part of For the most recent contents of this course and other information consulthttp://www.few.vu.nl/nl/studenten/studiegids/. Registration at the VU ; course code at the VU X_400170; enrollment viahttp://vunet.vu.nl Course will be offered at the VU University Amsterdam, see alsohttp://www.vu.nl/nl/studiegids/index.asp Course catalogue number 52848SAR6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) Associate Prof.Dr. P. Lago (co-ordinator) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   Associate Prof.Dr. P. Lago (co-ordinator) Master's Software Engineering"
Software Evolution,"Course catalogue number 5364SOEV6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl servicedesk-esc-science@uva.nl Is part of Exit qualification: “The graduate masters the methods and techniques needed to analyze an existing software system and to enable it to evolve given changing requirements.” Our objectives are three-fold: The course ties in closely with paper writing sessions where the objectives are to learn from academic literature, to develop curiosity, and to improve argumentation and writing skills. This course is designed around lab sessions in which we study real and large (open-source) software systems, written in languages like C, Java, PHP or Ruby. We use Rascal -a programming language workbench, or meta programming language- to apply and build software metrics, software analyses, software visualisations and (if time permits) software transformations. Seehttp://www.rascal-mpl.org.The student is supported with introductory courses and interactive lab sessions while learning this new language in the beginning. The course is supported by a series of lectures on the theory of software maintenance and evolution, guest lecturers from field experts, and a guided study of a number of research papers about maintenance, reverse engineering, reengineering and renovation. Example topics are clone detection, mining software repositories and refactoring. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. The format is focused on practical skills via the lab exercises, such as exploring source code and building tools, and academic skills via the paper sessions. Every week we start with a two hour lecture on the theory of software evolution, which is required to understand the material covered in the lab exercises. The rest of the day and the following day are lab hours. You also need two hours time every other week to prepare for the bi-weekly two-hour paper sessions. In this course we use the experimental programming language Rascal, which is (beta) open-source software and new to most students. On top of that we dive into many new topics for the students. Therefore the lab time is designed to be an integral and interactive part of the teaching, where the lecturer and the students are both present. The schedule for this course is published onDataNose. This course typically uses the following assessments, that will be detailed at the start of the course: The grade weights are indicative and will be detailed at the start of the course. Course catalogue number 5364SOEV6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) R.A. van Rozen (co-ordinator) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   R.A. van Rozen (co-ordinator) Master's Software Engineering The first objective is to acquire an understanding and appreciation of the challenges posed by software maintenance and software evolution. The second objective is to learn about quality of software and source code and how it affects software maintenance and evolution. The final objective is to be able to select and also construct software analysis and software transformation tools to help obtain insight in software quality and to help improve software quality. Advanced programming skills in several programming languages. Knowledge of compiler construction (parsing, ASTs, basic code analysis, etc.). Good (academic) English reading and writing skills. Syllabus: Reader consisting of selected papers on software evolution Other:http://www.rascal-mpl.org:'>http://www.rascal-mpl.org:http://www.rascal-mpl.org Other: Potentially other (academic) sources online test to assess basic skills practical lab assignments, assessed by demonstration and oral exam (2/3 of final grade) writing exercise(s): essay and/or annotated bilbiography (1/3 final grade)"
Preparation Masterproject Software Engineering,"Course catalogue number 5364PRMS6Y Credits 6 EC Language of instruction English Entry requirements For both part-time and full-time students. Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl servicedesk-esc-science@uva.nl Is part of The objective of the course is teaching the skills needed to successfully complete the Master’s (graduation) project. In summary these skills are: During paper sessions you learn skills to find, read and assess relevant scientific publications. You will also learn to build argumentation structures you need for your theory and analysis. For your graduation you can choose from a number of defined themes. In exceptional cases it is possible to define a project yourself. A tutor will help you during the preparation. You will also discuss your ideas with other students. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. The schedule for this course is published onDataNose. The student can pass the course by getting approval by a lecturer (tutor) for two deliverables: Course catalogue number 5364PRMS6Y Credits 6 EC Language of instruction English Entry requirements For both part-time and full-time students. Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. A.M. Oprescu (co-ordinator) Contact Education Desk FNWIScience Park 904B1020 5257100servicedesk-esc-science@uva.nl Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   dr. A.M. Oprescu (co-ordinator) Master's Software Engineering Problem analysis, Scientific literature survey, Theory building, Hypothesizing, Structuring research and validation, Project planning, Scientific reporting. Self-study Presentation/symposium Working independently on e.g. a project or thesis Supervision/feedback meeting Seminar Other:Study materials are made available through the course’s BlackBoard page. Study materials are made available through the course’s BlackBoard page. Study materials are made available through the course’s BlackBoard page. An interest in reading and writing scientific literature. Affinity with reading and writing English text. Knowledge of current challenges and results in software engineering. Plan for the Masters project, Survey of related literature."
